vorname;anzahl;geschlecht;position
Sophie;83;w;2
Marie;69;w;2
Maria;55;w;2
Felix;47;m;1
Marie;46;w;1
Mia;46;w;1
Lina;43;w;1
Noah;43;m;1
Emilia;41;w;1
Jakob;38;m;1
Leo;38;m;1
Mila;37;w;1
Alexander;37;m;2
Clara;36;w;1
Emil;36;m;1
Emma;35;w;1
Ella;34;w;1
Leonie;34;w;1
Elias;34;m;1
Finn;33;m;1
Liam;33;m;1
Paul;33;m;1
Anton;29;m;1
Max;29;m;1
Lea;28;w;1
Adam;28;m;1
Jonathan;28;m;1
Theo;28;m;1
Maximilian;28;m;2
Anna;27;w;1
David;27;m;1
Jonas;27;m;1
Levi;27;m;1
Emilia;27;w;2
Sophie;26;w;1
Maximilian;26;m;1
Oskar;26;m;1
Leon;25;m;1
Lukas;25;m;1
Leni;24;w;1
Lio;24;m;1
Luca;24;m;1
Charlotte;23;w;1
Elisa;23;w;1
Hanna;23;w;1
Sophia;23;w;1
Ben;23;m;1
Jonah;23;m;1
Louis;23;m;1
Lilly;22;w;1
Alexander;22;m;1
Charlotte;22;w;2
Katharina;22;w;2
Luna;21;w;1
Mira;21;w;1
Paula;21;w;1
Sophia;21;w;2
Emily;20;w;1
Ida;20;w;1
Lena;20;w;1
Lia;20;w;1
Benjamin;20;m;1
Matteo;20;m;1
Milan;20;m;1
Antonia;19;w;1
Lara;19;w;1
Luisa;19;w;1
Henri;19;m;1
Milo;19;m;1
Luise;19;w;2
Elias;19;m;2
Johanna;18;w;1
Henry;18;m;1
Leonard;18;m;1
Anton;18;m;2
Amelie;17;w;1
Nele;17;w;1
Nora;17;w;1
Tilda;17;w;1
Emilio;17;m;1
Julian;17;m;1
Mats;17;m;1
Johannes;17;m;2
Isabella;16;w;1
Julia;16;w;1
Malia;16;w;1
Maria;16;w;1
Amir;16;m;1
Toni;16;m;1
Elisa;16;w;2
Mathilda;15;w;1
Merle;15;w;1
Moritz;15;m;1
Elisabeth;15;w;2
Karl;15;m;2
Paul;15;m;2
Helena;14;w;1
Olivia;14;w;1
Pauline;14;w;1
Ronja;14;w;1
Julius;14;m;1
Luis;14;m;1
Ole;14;m;1
Tim;14;m;1
Valentin;14;m;1
Johanna;14;w;2
Hannah;13;w;1
Louisa;13;w;1
Marlene;13;w;1
Sofia;13;w;1
Jan;13;m;1
Jona;13;m;1
Malik;13;m;1
Samuel;13;m;1
Tom;13;m;1
Gabriel;13;m;2
Amara;12;w;1
Fiona;12;w;1
Juna;12;w;1
Laura;12;w;1
Mina;12;w;1
Thea;12;w;1
Ilyas;12;m;1
Jannis;12;m;1
Johann;12;m;1
Mattis;12;m;1
Mika;12;m;1
Nils;12;m;1
Louise;12;w;2
Leonard;12;m;2
Matthias;12;m;2
Eva;11;w;1
Frieda;11;w;1
Jana;11;w;1
Lilli;11;w;1
Livia;11;w;1
Lotta;11;w;1
Paulina;11;w;1
Sara;11;w;1
Zoe;11;w;1
Aaron;11;m;1
Aras;11;m;1
Fynn;11;m;1
Joshua;11;m;1
Mateo;11;m;1
Niklas;11;m;1
Oliver;11;m;1
Simon;11;m;1
Ida;11;w;2
Josefine;11;w;2
Ali;11;m;2
Jakob;11;m;2
Johann;11;m;2
Luca;11;m;2
Alma;10;w;1
Mara;10;w;1
Matilda;10;w;1
Maya;10;w;1
Romy;10;w;1
Sarah;10;w;1
Victoria;10;w;1
Ali;10;m;1
Carlo;10;m;1
Daniel;10;m;1
Gabriel;10;m;1
Miran;10;m;1
Lou;10;w;2
Marlene;10;w;2
Rose;10;w;2
Felix;10;m;2
Friedrich;10;m;2
Levi;10;m;2
Ayla;9;w;1
Carla;9;w;1
Frida;9;w;1
Josephine;9;w;1
Karla;9;w;1
Linda;9;w;1
Lisa;9;w;1
Maja;9;w;1
Carl;9;m;1
Hamza;9;m;1
Karl;9;m;1
Kilian;9;m;1
Levin;9;m;1
Matheo;9;m;1
Maxim;9;m;1
Nicolas;9;m;1
Robin;9;m;1
Vincent;9;m;1
Luisa;9;w;2
Peter;9;m;2
Thomas;9;m;2
Aleyna;8;w;1
Amira;8;w;1
Anastasia;8;w;1
Carlotta;8;w;1
Dua;8;w;1
Liv;8;w;1
Lotte;8;w;1
Luise;8;w;1
Rosa;8;w;1
Bruno;8;m;1
Erik;8;m;1
Fabian;8;m;1
Fiete;8;m;1
Florian;8;m;1
Hannes;8;m;1
Jasper;8;m;1
Leander;8;m;1
Lian;8;m;1
Linus;8;m;1
Lion;8;m;1
Luan;8;m;1
Lucas;8;m;1
Luka;8;m;1
Marlon;8;m;1
Raphael;8;m;1
Sam;8;m;1
Theodor;8;m;1
Zayn;8;m;1
Anna;8;w;2
Valentina;8;w;2
Victoria;8;w;2
Christian;8;m;2
David;8;m;2
Georg;8;m;2
Alina;7;w;1
Aurelia;7;w;1
Ava;7;w;1
Aylin;7;w;1
Diana;7;w;1
Ela;7;w;1
Eliana;7;w;1
Katharina;7;w;1
Liana;7;w;1
Liya;7;w;1
Marla;7;w;1
Melina;7;w;1
Adrian;7;m;1
Janosch;7;m;1
Justus;7;m;1
Konrad;7;m;1
Malte;7;m;1
Martin;7;m;1
Nael;7;m;1
Nico;7;m;1
Omar;7;m;1
Philipp;7;m;1
Till;7;m;1
Yunus;7;m;1
Christine;7;w;2
Helene;7;w;2
Lucia;7;w;2
Marleen;7;w;2
Benjamin;7;m;2
Can;7;m;2
Emil;7;m;2
Frederik;7;m;2
Henry;7;m;2
Michael;7;m;2
Richard;7;m;2
Wilhelm;7;m;2
Marie;7;w;3
Ada;6;w;1
Alea;6;w;1
Amalia;6;w;1
Amelia;6;w;1
Amina;6;w;1
Elena;6;w;1
Elina;6;w;1
Isabel;6;w;1
Lou;6;w;1
Maila;6;w;1
Melisa;6;w;1
Melissa;6;w;1
Milena;6;w;1
Mona;6;w;1
Noemi;6;w;1
Pia;6;w;1
Stella;6;w;1
Valentina;6;w;1
Arian;6;m;1
Aron;6;m;1
Baran;6;m;1
Benedikt;6;m;1
Benno;6;m;1
Damian;6;m;1
Enno;6;m;1
Friedrich;6;m;1
Jacob;6;m;1
Jannik;6;m;1
Johannes;6;m;1
Kian;6;m;1
Leano;6;m;1
Lino;6;m;1
Mohamed;6;m;1
Mohammad;6;m;1
Mohammed;6;m;1
Musa;6;m;1
Nathan;6;m;1
Pepe;6;m;1
Rayan;6;m;1
Yasin;6;m;1
Yusuf;6;m;1
Amelia;6;w;2
Aurelia;6;w;2
Josephine;6;w;2
Liya;6;w;2
Nur;6;w;2
Pauline;6;w;2
Sofie;6;w;2
Franz;6;m;2
Jan;6;m;2
Jonathan;6;m;2
Josef;6;m;2
Julius;6;m;2
Konrad;6;m;2
Leander;6;m;2
Max;6;m;2
Noah;6;m;2
Valentin;6;m;2
Aaliyah;5;w;1
Alessia;5;w;1
Aliya;5;w;1
Amaya;5;w;1
Anni;5;w;1
Cleo;5;w;1
Edda;5;w;1
Fatima;5;w;1
Hafsa;5;w;1
Josefine;5;w;1
Kiara;5;w;1
Klara;5;w;1
Leyla;5;w;1
Liah;5;w;1
Lynn;5;w;1
Malea;5;w;1
Malou;5;w;1
Mariam;5;w;1
Mayla;5;w;1
Nika;5;w;1
Nina;5;w;1
Zeynep;5;w;1
Amar;5;m;1
Ayaz;5;m;1
Charlie;5;m;1
Elia;5;m;1
Elian;5;m;1
Emilian;5;m;1
Frederik;5;m;1
Fritz;5;m;1
Henrik;5;m;1
Johan;5;m;1
Josef;5;m;1
Lars;5;m;1
Lasse;5;m;1
Lean;5;m;1
Lenn;5;m;1
Mikael;5;m;1
Nick;5;m;1
Thilo;5;m;1
Titus;5;m;1
Tobias;5;m;1
Victor;5;m;1
Ömer;5;m;1
Alexandra;5;w;2
Antonia;5;w;2
Carlotta;5;w;2
Elise;5;w;2
Felicitas;5;w;2
Helga;5;w;2
Isabella;5;w;2
Lena;5;w;2
Leni;5;w;2
Louisa;5;w;2
Paulina;5;w;2
Viktoria;5;w;2
Ben;5;m;2
Carl;5;m;2
Colin;5;m;2
Constantin;5;m;2
Ferdinand;5;m;2
Finn;5;m;2
Heinrich;5;m;2
Henri;5;m;2
Leo;5;m;2
Liam;5;m;2
Luis;5;m;2
Malte;5;m;2
Martin;5;m;2
Matteo;5;m;2
Maxim;5;m;2
Noel;5;m;2
Philipp;5;m;2
Adelina;4;w;1
Alice;4;w;1
Alva;4;w;1
Amélie;4;w;1
Annika;4;w;1
Aria;4;w;1
Aurora;4;w;1
Celine;4;w;1
Chiara;4;w;1
Dina;4;w;1
Finja;4;w;1
Flora;4;w;1
Greta;4;w;1
Helene;4;w;1
Hope;4;w;1
Isabell;4;w;1
Jasmin;4;w;1
Jonna;4;w;1
Karlotta;4;w;1
Kira;4;w;1
Layan;4;w;1
Lilia;4;w;1
Lily;4;w;1
Liyah;4;w;1
Liyana;4;w;1
Luana;4;w;1
Lucia;4;w;1
Magdalena;4;w;1
Maryam;4;w;1
Mathilde;4;w;1
Milla;4;w;1
Nala;4;w;1
Nisa;4;w;1
Selin;4;w;1
Selina;4;w;1
Talia;4;w;1
Theresa;4;w;1
Valerie;4;w;1
Viola;4;w;1
Wilma;4;w;1
Yara;4;w;1
Yuna;4;w;1
Ahmad;4;m;1
Alessandro;4;m;1
Antonio;4;m;1
Arthur;4;m;1
Aryan;4;m;1
Caspar;4;m;1
Constantin;4;m;1
Dario;4;m;1
Fabio;4;m;1
Hagen;4;m;1
Idris;4;m;1
Isa;4;m;1
Ismael;4;m;1
Issa;4;m;1
James;4;m;1
Jayden;4;m;1
John;4;m;1
Jonte;4;m;1
Joris;4;m;1
Kalle;4;m;1
Lennard;4;m;1
Leonardo;4;m;1
Leopold;4;m;1
Lionel;4;m;1
Manuel;4;m;1
Marlo;4;m;1
Matti;4;m;1
Neo;4;m;1
Nikita;4;m;1
Nikolas;4;m;1
Nino;4;m;1
Noel;4;m;1
Oscar;4;m;1
Piet;4;m;1
Rafael;4;m;1
Ruben;4;m;1
Younes;4;m;1
Grace;4;w;2
Henriette;4;w;2
Inge;4;w;2
Jolie;4;w;2
Joy;4;w;2
Lina;4;w;2
Liv;4;w;2
Luzia;4;w;2
Malou;4;w;2
Monika;4;w;2
Ruth;4;w;2
Aaron;4;m;2
Antonio;4;m;2
Bernhard;4;m;2
Christopher;4;m;2
Erich;4;m;2
Fritz;4;m;2
Jasper;4;m;2
Leon;4;m;2
Magnus;4;m;2
Matheo;4;m;2
Mika;4;m;2
Robin;4;m;2
Sebastian;4;m;2
Elisabeth;4;w;3
Maria;4;w;3
Adea;3;w;1
Alena;3;w;1
Alisha;3;w;1
Alissa;3;w;1
Aliyah;3;w;1
Ariana;3;w;1
Arina;3;w;1
Azra;3;w;1
Dalia;3;w;1
Derya;3;w;1
Elea;3;w;1
Eleni;3;w;1
Elisabeth;3;w;1
Elli;3;w;1
Elly;3;w;1
Elsa;3;w;1
Fabienne;3;w;1
Firdaus;3;w;1
Franziska;3;w;1
Freya;3;w;1
Hailey;3;w;1
Hana;3;w;1
Hidaya;3;w;1
Ina;3;w;1
Inaaya;3;w;1
Isabelle;3;w;1
Jannah;3;w;1
Jannat;3;w;1
Janne;3;w;1
Jette;3;w;1
Joana;3;w;1
Jule;3;w;1
Kaja;3;w;1
Lavin;3;w;1
Lene;3;w;1
Lola;3;w;1
Malina;3;w;1
Mariella;3;w;1
Marleen;3;w;1
Martha;3;w;1
Medina;3;w;1
Milou;3;w;1
Minel;3;w;1
Miriam;3;w;1
Nadia;3;w;1
Naemi;3;w;1
Neele;3;w;1
Nour;3;w;1
Ophelia;3;w;1
Rebecca;3;w;1
Reem;3;w;1
Tessa;3;w;1
Valeria;3;w;1
Viktoria;3;w;1
Yasmin;3;w;1
Zahra;3;w;1
Zoey;3;w;1
Zoé;3;w;1
Abdelmalik;3;m;1
Abdul;3;m;1
Ahmed;3;m;1
Albert;3;m;1
Alex;3;m;1
Alparslan;3;m;1
Amin;3;m;1
Arda;3;m;1
Arne;3;m;1
Aslan;3;m;1
Aurelio;3;m;1
Ayden;3;m;1
Ayman;3;m;1
Ayub;3;m;1
Azad;3;m;1
Aziz;3;m;1
Bastian;3;m;1
Can;3;m;1
Diar;3;m;1
Dion;3;m;1
Dominik;3;m;1
Dorian;3;m;1
Edgar;3;m;1
Emin;3;m;1
Emir;3;m;1
Eren;3;m;1
Eric;3;m;1
Eymen;3;m;1
Ezra;3;m;1
Gustav;3;m;1
Harun;3;m;1
Ibrahim;3;m;1
Ilay;3;m;1
Ilian;3;m;1
Imran;3;m;1
Ivan;3;m;1
Jarno;3;m;1
Jaro;3;m;1
Joscha;3;m;1
Juri;3;m;1
Konstantin;3;m;1
Laurin;3;m;1
Lennart;3;m;1
Lias;3;m;1
Mads;3;m;1
Magnus;3;m;1
Matthias;3;m;1
Mehmed;3;m;1
Metehan;3;m;1
Michael;3;m;1
Miguel;3;m;1
Mio;3;m;1
Muhammed;3;m;1
Neil;3;m;1
Nilo;3;m;1
Otto;3;m;1
Phil;3;m;1
Roman;3;m;1
Salim;3;m;1
Sami;3;m;1
Taavi;3;m;1
Thore;3;m;1
Thorin;3;m;1
Alice;3;w;2
Amalia;3;w;2
Amaya;3;w;2
Amira;3;w;2
Ava;3;w;2
Clara;3;w;2
Helena;3;w;2
Hope;3;w;2
Jane;3;w;2
Lara;3;w;2
Lilly;3;w;2
Livia;3;w;2
Luna;3;w;2
Lydia;3;w;2
Malea;3;w;2
Mathea;3;w;2
Mathilda;3;w;2
Milou;3;w;2
Rosa;3;w;2
Rosalie;3;w;2
Therese;3;w;2
Theresia;3;w;2
Vera;3;w;2
Amar;3;m;2
Amir;3;m;2
Bo;3;m;2
Bruno;3;m;2
Caspar;3;m;2
Daniel;3;m;2
Elia;3;m;2
Elian;3;m;2
Emanuel;3;m;2
Emilian;3;m;2
Emilio;3;m;2
Erik;3;m;2
Ismail;3;m;2
Joel;3;m;2
Jona;3;m;2
Jonas;3;m;2
Joris;3;m;2
Joseph;3;m;2
Joshua;3;m;2
Julian;3;m;2
Jürgen;3;m;2
Laurin;3;m;2
Leandro;3;m;2
Leopold;3;m;2
Manfred;3;m;2
Mehmet;3;m;2
Mio;3;m;2
Mirza;3;m;2
Nils;3;m;2
Oliver;3;m;2
Oskar;3;m;2
Ragnar;3;m;2
Samuel;3;m;2
Stefan;3;m;2
Theo;3;m;2
Thore;3;m;2
Toni;3;m;2
Dorothea;3;w;3
Gisela;3;w;3
Katharina;3;w;3
Ruth;3;w;3
Sophie;3;w;3
Ali;3;m;3
Bruno;3;m;3
Walter;3;m;3
Aaditri;2;w;1
Ajla;2;w;1
Alba;2;w;1
Alexis;2;w;1
Alia;2;w;1
Alica;2;w;1
Alin;2;w;1
Almina;2;w;1
Almira;2;w;1
Alya;2;w;1
Amal;2;w;1
Amilia;2;w;1
Amine;2;w;1
Amy;2;w;1
Ana;2;w;1
Anisa;2;w;1
Anissa;2;w;1
Annalena;2;w;1
Annelie;2;w;1
Anouk;2;w;1
Ariane;2;w;1
Arya;2;w;1
Ashley;2;w;1
Asya;2;w;1
Aya;2;w;1
Ayana;2;w;1
Ayliz;2;w;1
Carolin;2;w;1
Cataleya;2;w;1
Celia;2;w;1
Charlie;2;w;1
Chloe;2;w;1
Cosima;2;w;1
Dahlia;2;w;1
Dalin;2;w;1
Dana;2;w;1
Dania;2;w;1
Daria;2;w;1
Dila;2;w;1
Dilara;2;w;1
Dunya;2;w;1
Eleen;2;w;1
Eleonora;2;w;1
Elif;2;w;1
Elin;2;w;1
Eliz;2;w;1
Eliza;2;w;1
Elizabeth;2;w;1
Ellen;2;w;1
Elsie;2;w;1
Emilie;2;w;1
Erva;2;w;1
Evelyn;2;w;1
Felia;2;w;1
Felina;2;w;1
Fenja;2;w;1
Fine;2;w;1
Florentina;2;w;1
Franca;2;w;1
Freja;2;w;1
Fria;2;w;1
Friederike;2;w;1
Gloria;2;w;1
Grace;2;w;1
Havin;2;w;1
Hedi;2;w;1
Hiba;2;w;1
Inaya;2;w;1
Inayah;2;w;1
Inga;2;w;1
Insa;2;w;1
Irma;2;w;1
Janna;2;w;1
Jara;2;w;1
Johanne;2;w;1
Juli;2;w;1
Kayla;2;w;1
Kimberly;2;w;1
Klea;2;w;1
Lale;2;w;1
Larin;2;w;1
Leandra;2;w;1
Leen;2;w;1
Lema;2;w;1
Leonora;2;w;1
Leticia;2;w;1
Liara;2;w;1
Lieselotte;2;w;1
Lijana;2;w;1
Liliana;2;w;1
Lilya;2;w;1
Linn;2;w;1
Linnea;2;w;1
Livi;2;w;1
Loreen;2;w;1
Lorin;2;w;1
Lotti;2;w;1
Louise;2;w;1
Lucy;2;w;1
Lumi;2;w;1
Madlen;2;w;1
Majvi;2;w;1
Malena;2;w;1
Malie;2;w;1
Maliya;2;w;1
Maram;2;w;1
Marina;2;w;1
Mathea;2;w;1
Mavi;2;w;1
Mavie;2;w;1
Meliya;2;w;1
Melody;2;w;1
Meryem;2;w;1
Miray;2;w;1
Misk;2;w;1
Muna;2;w;1
Munira;2;w;1
Naomi;2;w;1
Nefeli;2;w;1
Nelly;2;w;1
Neva;2;w;1
Neyla;2;w;1
Nia;2;w;1
Nicole;2;w;1
Nila;2;w;1
Norah;2;w;1
Paloma;2;w;1
Pina;2;w;1
Priya;2;w;1
Raphaela;2;w;1
Romi;2;w;1
Rosalie;2;w;1
Ruby;2;w;1
Safaa;2;w;1
Safia;2;w;1
Safiya;2;w;1
Salma;2;w;1
Samira;2;w;1
Sandra;2;w;1
Sanna;2;w;1
Sola;2;w;1
Svea;2;w;1
Tala;2;w;1
Tasnim;2;w;1
Tatjana;2;w;1
Teresa;2;w;1
Tuana;2;w;1
Valeska;2;w;1
Violetta;2;w;1
Vivien;2;w;1
Zehra;2;w;1
Zoya;2;w;1
Zümra;2;w;1
Abdullah;2;m;1
Ahmet;2;m;1
Alan;2;m;1
Aleksandar;2;m;1
Aleksander;2;m;1
Alexandros;2;m;1
Andi;2;m;1
Araz;2;m;1
Art;2;m;1
Artjom;2;m;1
Ayan;2;m;1
Bassam;2;m;1
Batu;2;m;1
Bela;2;m;1
Bilal;2;m;1
Björn;2;m;1
Boris;2;m;1
Bosse;2;m;1
Casper;2;m;1
Christian;2;m;1
Christoph;2;m;1
Clemens;2;m;1
Connor;2;m;1
Deon;2;m;1
Diyan;2;m;1
Eddie;2;m;1
Eduard;2;m;1
Edwin;2;m;1
Efe;2;m;1
Eliah;2;m;1
Elio;2;m;1
Emiliano;2;m;1
Ferdinand;2;m;1
Filip;2;m;1
Fineas;2;m;1
Fridolin;2;m;1
Gero;2;m;1
Giovanni;2;m;1
Giuseppe;2;m;1
Göktuğ;2;m;1
Hassan;2;m;1
Hendrik;2;m;1
Hugo;2;m;1
Hussein;2;m;1
Ilhan;2;m;1
Ilias;2;m;1
Isaiah;2;m;1
Ivar;2;m;1
Jamal;2;m;1
Janne;2;m;1
Jannes;2;m;1
Jannick;2;m;1
Jari;2;m;1
Jarne;2;m;1
Jason;2;m;1
Jerome;2;m;1
Jesper;2;m;1
Jibril;2;m;1
Jordan;2;m;1
Joseph;2;m;1
Josua;2;m;1
Junes;2;m;1
Karam;2;m;1
Karan;2;m;1
Kaspar;2;m;1
Kayden;2;m;1
Keno;2;m;1
Kiyan;2;m;1
Laurenz;2;m;1
Lawand;2;m;1
Lazar;2;m;1
Leandro;2;m;1
Lennox;2;m;1
Leonas;2;m;1
Leonel;2;m;1
Leonik;2;m;1
Lev;2;m;1
Lou;2;m;1
Louay;2;m;1
Louie;2;m;1
Lucian;2;m;1
Lucien;2;m;1
Ludwig;2;m;1
Mahir;2;m;1
Mahmoud;2;m;1
Mailo;2;m;1
Malek;2;m;1
Malio;2;m;1
Marco;2;m;1
Marius;2;m;1
Mark;2;m;1
Marvin;2;m;1
Mathis;2;m;1
Mayar;2;m;1
Mehmet;2;m;1
Michel;2;m;1
Mikail;2;m;1
Milad;2;m;1
Miron;2;m;1
Mirza;2;m;1
Mohamad;2;m;1
Moses;2;m;1
Muhammad;2;m;1
Murat;2;m;1
Mustafa;2;m;1
Nathaniel;2;m;1
Nelio;2;m;1
Niko;2;m;1
Nikolai;2;m;1
Noar;2;m;1
Noh;2;m;1
Nuri;2;m;1
Omed;2;m;1
Omid;2;m;1
Osman;2;m;1
Paolo;2;m;1
Philip;2;m;1
Poyraz;2;m;1
Raffael;2;m;1
Rashid;2;m;1
Remo;2;m;1
Richard;2;m;1
Roni;2;m;1
Said;2;m;1
Samir;2;m;1
Sascha;2;m;1
Sebastian;2;m;1
Selim;2;m;1
Silas;2;m;1
Taha;2;m;1
Tammo;2;m;1
Thiago;2;m;1
Thomas;2;m;1
Tiago;2;m;1
Tilmann;2;m;1
Timo;2;m;1
Tony;2;m;1
Tristan;2;m;1
Tyler;2;m;1
Viktor;2;m;1
Wilhelm;2;m;1
William;2;m;1
Wim;2;m;1
Yamen;2;m;1
Yannik;2;m;1
Yaqub;2;m;1
Yassin;2;m;1
Yousef;2;m;1
Youssef;2;m;1
Yunis;2;m;1
Zakaria;2;m;1
Adele;2;w;2
Adelheid;2;w;2
Alva;2;w;2
Anastasia;2;w;2
Andrea;2;w;2
Apollonia;2;w;2
Aylin;2;w;2
Barbara;2;w;2
Bella;2;w;2
Belén;2;w;2
Carmen;2;w;2
Catalina;2;w;2
Edita;2;w;2
Edith;2;w;2
Elena;2;w;2
Elif;2;w;2
Elina;2;w;2
Elvira;2;w;2
Emilie;2;w;2
Emily;2;w;2
Emmi;2;w;2
Fee;2;w;2
Franziska;2;w;2
Freya;2;w;2
Frida;2;w;2
Fritzi;2;w;2
Hafsa;2;w;2
Hava;2;w;2
Hedwig;2;w;2
Heidi;2;w;2
Helen;2;w;2
Imani;2;w;2
Ioana;2;w;2
